timestamp,type,price,executionId
1.649088057373e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057393e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057413e+18,READ,3.05e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057433e+18,WRITE,0.0001525,e62619a4-c715-4c76-bcff-48d01874db73
1.6490880574339997e+24,INVOCATION,2e-05,e62619a4-c715-4c76-bcff-48d01874db73
1.6490880574339997e+24,TIME,0.00044352000000000004,e62619a4-c715-4c76-bcff-48d01874db73
1.649088057492e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057513e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057533e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057553e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057573e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057613e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057653e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057893e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057914e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088057993e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058073e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058113e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058153e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058252e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058312e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058412e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058417e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058453e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058493e+18,READ,3.05e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058513e+18,WRITE,0.0001525,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058532e+24,INVOCATION,2e-05,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058532e+24,TIME,0.00044981999999999997,f7740fcd-6f7f-4511-b76d-3324689e4e67
1.649088058557e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058593e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058613e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058633e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058673e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058713e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058733e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058753e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
