exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources,load,resources,cluster_fee,vm_cost,fs_write_cost,fs_read_cost,pubsub_cost,total_cost
25,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,300,3,0.1,0.345336,1.2635999999999998,0.0,0.0392901711165905,1.7482261711165903
28,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,400,5,0.1,0.345336,1.6847999999999999,0.0,0.052386894822120667,2.1825228948221205
28,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,500,5,0.1,0.345336,2.106,0.0,0.06548361852765083,2.616819618527651
29,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,3,8.0,600,7,0.1,0.5180039999999999,2.5271999999999997,0.0,0.078580342233181,3.2237843422331807
29,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,3,8.0,700,8,0.1,0.5180039999999999,2.9484,0.0,0.09167706593871117,3.658081065938711
29,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,3,8.0,800,8,0.1,0.5180039999999999,3.3695999999999997,0.0,0.10477378964424133,4.092377789644241
30,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,4,11.0,900,10,0.1,0.690672,3.7907999999999995,0.0,0.1178705133497715,4.699342513349771
30,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,4,11.0,1000,11,0.1,0.690672,4.212,0.0,0.13096723705530167,5.133639237055301
8999,results-gcp2,True,4,uc1,pubsub,flink,0,gcp,e2-standard-4,5,,1100,12,0.1,0.86334,4.6331999999999995,0.0,0.14406396076083183,5.740603960760831
8999,results-gcp2,True,4,uc1,pubsub,flink,0,gcp,e2-standard-4,5,,1200,12,0.1,0.86334,5.054399999999999,0.0,0.157160684466362,6.174900684466361
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,0,1,0.0,0.172668,0.0,0.0,0.0,0.172668
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,100,1,0.0,0.172668,0.42119999999999996,0.0,0.013096723705530167,0.6069647237055301
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,200,1,0.0,0.172668,0.8423999999999999,0.0,0.026193447411060333,1.0412614474110602
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,300,1,0.0,0.172668,1.2635999999999998,0.0,0.0392901711165905,1.4755581711165904
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,400,1,0.0,0.172668,1.6847999999999999,0.0,0.052386894822120667,1.9098548948221206
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,500,1,0.0,0.172668,2.106,0.0,0.06548361852765083,2.3441516185276505
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,600,1,0.0,0.172668,2.5271999999999997,0.0,0.078580342233181,2.7784483422331805
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,700,1,0.0,0.172668,2.9484,0.0,0.09167706593871117,3.212745065938711
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,800,2,0.0,0.345336,3.3695999999999997,0.0,0.10477378964424133,3.819709789644241
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,900,2,0.0,0.345336,3.7907999999999995,0.0,0.1178705133497715,4.254006513349771
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,1000,2,0.0,0.345336,4.212,0.0,0.13096723705530167,4.688303237055301
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,1100,2,0.0,0.345336,4.6331999999999995,0.0,0.14406396076083183,5.122599960760831
64,results-gcp2,False,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,,1200,3,0.0,0.5180039999999999,5.054399999999999,0.0,0.157160684466362,5.729564684466361
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,0,1,0.1,0.46,0.0,0.0,0.0,0.56
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,100,1,0.1,0.46,0.5489999999999999,0.0,0.030000448,1.139000448
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,200,1,0.1,0.46,1.0979999999999999,0.0,0.030000896,1.688000896
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,300,1,0.1,0.46,1.6469999999999998,0.0,0.030001344,2.237001344
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,400,1,0.1,0.46,2.1959999999999997,0.0,0.030001792,2.786001792
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,500,1,0.1,0.46,2.7449999999999997,0.0,0.03000224,3.3350022399999997
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,600,1,0.1,0.46,3.2939999999999996,0.0,0.030002688,3.884002688
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,700,1,0.1,0.46,3.8429999999999995,0.0,0.030003136,4.433003136
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,800,1,0.1,0.46,4.3919999999999995,0.0,0.030003584,4.982003584
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,900,1,0.1,0.46,4.940999999999999,0.0,0.030004032,5.531004031999999
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,1000,1,0.1,0.46,5.489999999999999,0.0,0.03000448,6.080004479999999
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,1100,1,0.1,0.46,6.038999999999999,0.0,0.030004928,6.629004927999999
9,results-aws,False,9,uc1,http,flink,3,aws,m5.xlarge,2,,1200,2,0.1,0.46,6.587999999999999,0.0,0.030005376,7.178005376
57,results-gcp,False,11,uc1,http,samza,3,gcp,e2-standard-4,3,7.0,0,4,0.1,0.5180039999999999,0.0,0.0,0.0,0.6180039999999998
57,results-gcp,False,11,uc1,http,samza,3,gcp,e2-standard-4,3,7.0,100,4,0.1,0.5180039999999999,0.42119999999999996,0.0,0.03000056,1.0692045599999997
58,results-gcp,False,11,uc1,http,samza,3,gcp,e2-standard-4,4,11.0,200,10,0.1,0.690672,0.8423999999999999,0.0,0.03000112,1.66307312
59,results-gcp,False,11,uc1,http,samza,3,gcp,e2-standard-4,5,15.0,300,14,0.1,0.86334,1.2635999999999998,0.0,0.03000168,2.2569416799999997
8890,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,6,19.0,400,18,0.1,1.0360079999999998,1.6847999999999999,0.0,0.03000224,2.8508102399999995
8891,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,7,23.0,500,22,0.1,1.2086759999999999,2.106,0.0,0.0300028,3.4446788
8892,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,8,27.0,600,26,0.1,1.381344,2.5271999999999997,0.0,0.03000336,4.03854736
